corp_code,stock_code,corp_name
00434003,00000 ,다코
00430964,00000 ,굿앤엘에스
00388953,00000 ,크레디피아제이십오차유동화전문회사
00179984,00000 ,연방건설산업
00420143,00000 ,브룩스피알아이오토메이션잉크
00401111,00000 ,매경아이비아이
00435534,00000 ,캐드뱅크
00430186,00000 ,엠와이오피삼차유동화전문유한회사
00430201,00000 ,엠와이오피이차유동화전문유한회사
00430210,00000 ,엠와이오피일차유동화전문유한회사
00430229,00000 ,포스미디어
00140432,00000 ,축복할렐루야
00426208,00000 ,한국전자화학
00433262,00000 ,ConnachtCapitalMarketInvestmentLtd.
00433749,00000 ,선진아이티
00433785,00000 ,팀스코리아
00196079,00000 ,에넥스하이테크
00435048,00000 ,세이스텝바이스텝혼합형펀드
00435057,00000 ,유리알파헷지채권혼합형펀드
00108843,00000 ,한기술정보통신
00443232,00000 ,다움종합건설
00248293,00000 ,한국애치슨
00455662,00000 ,고은상사
00149318,00000 ,조흥종합건설
00451347,00000 ,유니즈유통
00415105,00000 ,창대화장품
00420824,00000 ,문화종합건설
00389439,00000 ,한국종합미디어
00454016,00000 ,아이펜텍
00452072,00000 ,대홍염공
00437602,00000 ,지오항공여행사
00365518,00000 ,헤이아니타코리아
00246967,00000 ,태산산업개발
00445559,00000 ,군포종합시장
00444657,00000 ,기우
00448936,00000 ,라시도
00405658,00000 ,예전미디어
00410818,00000 ,세미가
00416061,00000 ,대닉스
00448909,00000 ,인포핸드
00445407,00000 ,지현개발
00421647,00000 ,한국부동산신탁제일차유동화전문유한회사
00421425,00000 ,ISCCaymanLtd.
00423265,00000 ,연산
00423292,00000 ,씨케이알유동화전문유한회사
00420602,00000 ,디에스피
00307505,00000 ,LOMBARDKOREAILIMITED
00241397,00000 ,우신투자자문
00421896,00000 ,외환카드제오차유동화전문유한회사
00365712,00000 ,태연
00388616,00000 ,글로벌금강제일차유동화전문유한회사
00230407,00000 ,글로벌렌탈
00423566,00000 ,뤼미에르에셋
00423274,00000 ,바사라엔터테인먼트
00419688,00000 ,대백유동화전문유한회사
00419712,00000 ,아이키키
00414665,00000 ,진명씨앤씨
00421869,00000 ,한경핫벤처
00421957,00000 ,우리부동산제일차유동화전문유한회사
00255442,00000 ,영진상운
00427517,00000 ,한국토지신탁제오차유동화전문유한회사
00376152,00000 ,다드림커뮤니케이션
00382241,00000 ,ARISAIGASIANSMALLCOMPANIESFUND(L)BHD
00431501,00000 ,싱가포르개발은행서울지점
00434289,00000 ,KTB혼합형펀드
00434298,00000 ,KTB플러스찬스혼합형펀드
00434313,00000 ,KTB포트폴리오스타혼합형펀드
00434322,00000 ,KTB에버스타혼합형펀드
00429463,00000 ,나노이앤씨
00429515,00000 ,지산엔터프라이즈
00432175,00000 ,유아이에스코리아
00387033,00000 ,트리플에스유동화전문유한회사
00384045,00000 ,크레디피아제이십일차유동화전문유한회사
00431608,00000 ,싱가포르개발은행
00431705,00000 ,엘지팩토링제일차유동화전문유한회사
00430256,00000 ,이피에스뱅크
00431167,00000 ,이라이프네트워크
00432315,00000 ,덕성
00413134,00000 ,타오건설
00435376,00000 ,장원코리아
00110909,00000 ,대신통상
00220695,00000 ,서울교육
00211794,00000 ,보성패션
00454496,00000 ,넥스탑
00455592,00000 ,마니빌
00370796,00000 ,제이엘코프
00199401,00000 ,컴마을
00369596,00000 ,삼신크리에이션
00210078,00000 ,호한통상
00363398,00000 ,케이엠티
00110042,00000 ,대백가구
00364324,00000 ,청빛산업개발
00248017,00000 ,삼양전자
00452179,00000 ,숭민코리아유통
00413754,00000 ,유오티앤씨
00343163,00000 ,한라스페코중공업
00452513,00000 ,알본
00435978,00000 ,상일디지털
00368153,00000 ,서전어패럴
00455149,00000 ,웰비스트랜스
00249946,00000 ,한국키엔스
00110839,00000 ,대신생명보험
00293798,00000 ,대성메디테크
00113119,00000 ,대한알루미늄공업
00424389,00000 ,남성엠케이
00424486,00000 ,씨엠액텍
00224734,00000 ,한국부동산신탁
00197713,00000 ,주은산업
00421948,00000 ,신엘지프라이머리제이차유동화전문유한회사
00422381,00000 ,데코제일차유동화전문유한회사
00350446,00000 ,뉴스테이트삼차모기지유동화전문유한회사
00396642,00000 ,엘지수퍼센터
00425449,00000 ,아이클릭세븐
00425458,00000 ,월드인코레스
00425333,00000 ,코리아픽시컴
00424617,00000 ,산은부동산제사차유동화전문유한회사
00424006,00000 ,글로벌자이언트시스템
00424051,00000 ,신클레어
00403599,00000 ,에이에스피기업구조조정전문
00425519,00000 ,Marubeni-ItochuSteelInc.
00224585,00000 ,신한
00429524,00000 ,우리모아제이차유동화전문유한회사
00429533,00000 ,글로벌사모안정혼합형펀드
00432722,00000 ,파워외환카드제팔차유동화전문유한회사
00432786,00000 ,파워외환카드제오차유동화전문유한회사
00429728,00000 ,영퓨처
00428668,00000 ,코로볼틴펀드리미티드
00430751,00000 ,대창크랑크
00385372,00000 ,허츠제일차유동화전문유한회사
00431680,00000 ,새암교육
00386308,00000 ,반지종합상가
00256450,00000 ,동서산업건설(가칭)
00290816,00000 ,대우종합기계(가칭)
00291532,00000 ,대우조선공업(가칭)
00127990,00000 ,삼일상호저축은행
00431565,00000 ,케이디에스에스
00399959,00000 ,비젼케이파트너스
00430238,00000 ,리버랜드
00263034,00000 ,동양선재
00205298,00000 ,춘천미도파
00431042,00000 ,거버너스M&A사모펀드3호
00348715,00000 ,아이앤비골드문브이에이치
00447964,00000 ,체리미디어
00448361,00000 ,경원하이텍
00185851,00000 ,중원화학
00445735,00000 ,나크나인
00385770,00000 ,동남해상관광호텔
00319245,00000 ,한성선박
00126502,00000 ,삼성콘크리트공업
00363440,00000 ,엠알더블유테크노로지
00445522,00000 ,제이에이치홀딩스
00320302,00000 ,동연산업
00444958,00000 ,우양주택건설
00441836,00000 ,해진하우징
00445629,00000 ,효헌산업
00454052,00000 ,우림산업개발
00454414,00000 ,에이스하이테크
00196857,00000 ,해표푸드서비스
00413383,00000 ,에프씨산업
00225098,00000 ,극동뉴메릭
00410304,00000 ,서울드림랜드
00310998,00000 ,한국미라이공업
00415114,00000 ,21세기화장품
00451000,00000 ,광명산업
00369985,00000 ,다음솔루션
00371670,00000 ,정우조명
00401430,00000 ,모바일웰컴
00247027,00000 ,푸른건설
00144058,00000 ,월다크
00416867,00000 ,길도건업
00456263,00000 ,원일스포지움
00436339,00000 ,용인자원
00120748,00000 ,마산강관
00386724,00000 ,세창철강공업
00255390,00000 ,재무와정보
00455547,00000 ,대양중공업
00233398,00000 ,이에이지씨
00405065,00000 ,페타코페트로륨
00425537,00000 ,MarubeniCorporation
00424158,00000 ,캐피탈라인
00100920,00000 ,건설증권
00370167,00000 ,일진전자통신
00409131,00000 ,오픈솔루션
00424194,00000 ,AMERICAORIENTALGROUP
00364713,00000 ,mvp창업투자
00408901,00000 ,라이져
00161170,00000 ,한라시멘트
00423557,00000 ,한국알리안츠화재해상보험
00307444,00000 ,코리아벌처투자
00370468,00000 ,티에스케이지
00424219,00000 ,텔레닉스
00424185,00000 ,유니텍워터시스템즈
00424556,00000 ,거륜씨앤씨
00121631,00000 ,문화
00424866,00000 ,모비도미
00424884,00000 ,에이치케이인베스트먼트유동화전문유한회사
00424927,00000 ,LiquidmetalTechnologies
00423797,00000 ,모멘타(케이만)
00433350,00000 ,KTB프라임8호혼합형사모펀드
00433369,00000 ,유리명품장기채권형사모펀드3호
00433378,00000 ,유리유니콘채권혼합형펀드
00433387,00000 ,맥쿼리아이엠엠프라임7호채권형사모펀드
00433420,00000 ,마이에셋애국성장형이호펀드
00433457,00000 ,채권플러스알파2호펀드
00433466,00000 ,마이다스사모프라임안정형2호펀드
00376073,00000 ,테크포인트
00234306,00000 ,부국개발
00429418,00000 ,세닥에듀케이션
00429977,00000 ,에이치엘홀딩스에스에이
00340786,00000 ,크레디리요네증권
00218928,00000 ,케이티인더스트리
00106793,00000 ,김천상호저축은행
00378886,00000 ,이화홀딩스
00433484,00000 ,미래에셋유니온사모혼합형펀드2호
00433493,00000 ,맥쿼리아이엠엠액티브채권형사모펀드3호
00433509,00000 ,맥쿼리아이엠엠프라임6호혼합형사모펀드
00433518,00000 ,유리명품장기채권형사모펀드2호
00406596,00000 ,신우쉬핑
00443001,00000 ,동흥컨설팅
00363741,00000 ,디조콤
00436375,00000 ,맘모스산업개발
00222277,00000 ,아성
00446284,00000 ,디토정보기술
00446682,00000 ,오우디앤씨
00139995,00000 ,에어웨이엑스프레스
00444602,00000 ,탑월드
00150314,00000 ,진로종합유통
00231840,00000 ,케이에프텍
00236243,00000 ,나토상사
00309479,00000 ,지오이네트
00447034,00000 ,이십일세기종합건설
00447496,00000 ,일현건설
00300928,00000 ,삼영기공
00317566,00000 ,삼능주택
00412001,00000 ,동해
00155407,00000 ,풍광직물
00443542,00000 ,기성텍스타일
00179726,00000 ,제텍스바론
00300982,00000 ,국제개발
00298818,00000 ,유유후마킬라
00424644,00000 ,피앤씨미디어
00350570,00000 ,비앤에프투자자문
00424316,00000 ,한국부동산신탁제이차유동화전문유한회사
00368551,00000 ,에이텍
00424307,00000 ,덕경종합건설
00425078,00000 ,글로벌스페셜혼합형사모펀드
00154499,00000 ,태화
00424653,00000 ,씨앤앰유동화전문유한회사
00414522,00000 ,온누리방송
00425120,00000 ,케이티엠
00356723,00000 ,아이앤비골드문컨설팅
00375506,00000 ,동국제강제일차유동화전문유한회사
00424769,00000 ,밸류노믹스기업구조조정전문회사
00223300,00000 ,조창
00360294,00000 ,영지통상
00425209,00000 ,RosewellConsulting&InvestmentLtd.
00433527,00000 ,유리시티즌장기채권형사모펀드
00433536,00000 ,KTB장기채권형사모펀드3호
00433545,00000 ,KTB장기채권형사모펀드4호
00433554,00000 ,맥쿼리아이엠엠포세이돈채권형사모펀드4호
00433563,00000 ,마이에셋애국안정형1호펀드
00434702,00000 ,노보스
00434711,00000 ,세이유니온채권혼합형사모펀드
00434720,00000 ,LG드림혼합형펀드
00434739,00000 ,알파그로스주식형펀드
00434748,00000 ,유리알파헷지채권혼합형사모펀드
00434757,00000 ,알파헷지이기욱혼합형펀드
00434775,00000 ,맥쿼리IMM홀인원채권형펀드
00434793,00000 ,유리시장중립채권형사모펀드
00434809,00000 ,유리알파30채권혼합형사모펀드
00432573,00000 ,파워외환카드제사차유동화전문유한회사
00432607,00000 ,파워외환카드제이차유동화전문유한회사
00432643,00000 ,케드제이차유동화전문유한회사
00323390,00000 ,굿윌경영자문
00412861,00000 ,국제금속산업
00443913,00000 ,덕정무역
00315179,00000 ,삼성코닝마이크로옵틱스
00165264,00000 ,혜성건설
00368171,00000 ,코스모에쿼티파트너스
00369480,00000 ,경빈
00446196,00000 ,내외시스템
00108311,00000 ,태승어패럴
00105615,00000 ,금동조명
00360197,00000 ,태광정밀공업
00360364,00000 ,게르마니셀로이드코리아
00366720,00000 ,청우제강
00273536,00000 ,필리아텔레콤
00443375,00000 ,진도개발
00447511,00000 ,만남과축복
00403872,00000 ,영상산업
00441757,00000 ,쌈솔
00445221,00000 ,링크테크21
00448769,00000 ,건화메디팜
00351357,00000 ,윈윈창업투자
00371333,00000 ,지티웹코리아
00392716,00000 ,트랜스미디어매니지먼트
00424398,00000 ,남성유통
00380322,00000 ,무지개유동화전문유한회사
00387264,00000 ,엘지화학제일차유동화전문유한회사
00425379,00000 ,페가수스캐피탈아시아
00421595,00000 ,한솔케미언스제일차유동화전문유한회사
00128564,00000 ,삼천리M&C
00304757,00000 ,넥스트디앤드에스
00407142,00000 ,드림라인제일차유동화전문유한회사
00408044,00000 ,동국산업제일차유동화전문유한회사
00112387,00000 ,휴먼이노텍
00423539,00000 ,자도
00103981,00000 ,광전자INT
00416478,00000 ,굿케이디비제삼차유동화전문유한회사
00418801,00000 ,신엑스퍼트유동화전문
00419332,00000 ,비발디제일차유동화전문유한회사
00418078,00000 ,두산위브유동화전문유한회사
00419651,00000 ,코오롱폴리스유동화전문유한회사
00251695,00000 ,메디캐피탈
00432661,00000 ,파워외환카드제삼차유동화전문유한회사
00430858,00000 ,에이치에스비프로퍼티원인베스트먼트유동화전문유한회사
00432670,00000 ,서상금속
00434827,00000 ,세이한가족주식형펀드
00434872,00000 ,알파크레디트플러스채권형펀드
00434881,00000 ,알파국공채채권형사모펀드
00434906,00000 ,세이에이스알파혼합형펀드
00434915,00000 ,맥쿼리IMM코리아플러스채권형펀드
00434924,00000 ,맥쿼리IMM마켓뉴트럴혼합형사모펀드
00434933,00000 ,세이원채권형펀드
00435093,00000 ,그레이터차이나1호사모펀드
00435109,00000 ,윌러스
00431820,00000 ,디베스트사모엠엔에이펀드일호
00398525,00000 ,미래에셋프리미어전환혼합형이호펀드
00260967,00000 ,디지텔
00378956,00000 ,유리세이프롱숏채권혼합형펀드
00164104,00000 ,리젠트화재보험
00101266,00000 ,경남리스금융
00412834,00000 ,굿머니
00226343,00000 ,한소닉테크
00150147,00000 ,지산개발
00416937,00000 ,지구환경산업
00132497,00000 ,성도통상
00216461,00000 ,에프샵
00369301,00000 ,근영전자통신
00360106,00000 ,보해주정
00410483,00000 ,윈스텍
00409928,00000 ,조한도시개발
00209647,00000 ,대웅전기산업
00370316,00000 ,해피라인
00134246,00000 ,세원건설
00444806,00000 ,린나이씨에스
00233112,00000 ,성우전자
00450986,00000 ,미도산업개발
00442206,00000 ,덕성섬유
00361664,00000 ,기흥종합건설
00370334,00000 ,이에이치상사
00432616,00000 ,웨이브티브이
00405436,00000 ,유니크
00414319,00000 ,송학장갑
00261610,00000 ,위트비전
00362432,00000 ,월드무역
00415293,00000 ,오픈테크
00413204,00000 ,아피아
00413277,00000 ,차세대정보통신
00268455,00000 ,조흥신탁유동화전문회사
00273606,00000 ,오토일천구백구십구의일유동화전문유한회사
00303369,00000 ,한국토지신탁제이차유동화전문유한회사
00317043,00000 ,포커스제1차유동화전문유한회사
00328517,00000 ,베스트이지제일차유동화전문유한회사
00341776,00000 ,모비스코람유동화전문유한회사
00362131,00000 ,아이에스피
00427492,00000 ,한실흥산
00363413,00000 ,아이티엔방송
00302829,00000 ,슈퍼데크코리아
00426758,00000 ,산은부동산제오차유동화전문유한회사
00427474,00000 ,덕화산업
00428695,00000 ,국민카드이천이의일유동화전문유한회사
00366508,00000 ,마일스톤벤처투자
00402208,00000 ,에스비아이코리아
00175021,00000 ,씨티은행
00429250,00000 ,AllianzFinanceB.V.
00425777,00000 ,동의보감유동화전문유한회사
00109125,00000 ,세화기술투자
00388810,00000 ,미래에셋프리미어혼합형펀드
00383426,00000 ,마이다스차익거래안정혼합형펀드
00146676,00000 ,아이씨켐
00338152,00000 ,소프트윈
00438902,00000 ,신하나로유동화전문유한회사
00432856,00000 ,벽산건설블루밍제일차유동화전문유한회사
00431033,00000 ,이천일아울렛제일차유동화전문유한회사
00240866,00000 ,씨마유통
00440934,00000 ,캠앤아이코리아
00440952,00000 ,제이경영컨설팅
00435598,00000 ,태거산업
00350136,00000 ,마인드텔
00350206,00000 ,엘파오벤쳐캐피탈
00268288,00000 ,심스밸리
00105846,00000 ,LGEI
00350756,00000 ,유리크레디트회사채혼합형펀드
00149497,00000 ,알파캐피탈
00264778,00000 ,유니씨앤티
00289227,00000 ,미래에셋파이오니어벤처코스닥펀드
00449184,00000 ,디에이치파트너스
00369028,00000 ,근하종합개발호텔엑스포
00152491,00000 ,코락
00445601,00000 ,터보엔지니어링
00407610,00000 ,알파엔지니어링
00146241,00000 ,명성건설
00446071,00000 ,스카이함백
00368384,00000 ,비에스그룹
00446840,00000 ,삼부이엔씨
00245791,00000 ,두앙종합건설
00449625,00000 ,신성전자
00375223,00000 ,한국기업금융자문
00411631,00000 ,고룡
00256326,00000 ,아성식품
00367330,00000 ,세원지애에이치
00371838,00000 ,남양주택건설
00246480,00000 ,이조해운
00359304,00000 ,한서화학
00415600,00000 ,대륭전자
00422910,00000 ,서울에프엔텍파트너스
00451055,00000 ,팔공산온천관광호텔
00448839,00000 ,택산개발
00234670,00000 ,동진피엠씨
00224707,00000 ,대흥정공
00193568,00000 ,신대광주택
00415080,00000 ,아프로시스템스
